p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
6.883877161912014e-57,1.3069197457177912,0.512,0.208,1.2649812672729516e-52,5,GPX3
1.5456437253294566e-55,1.3310881379486306,0.762,0.442,2.8402749096654093e-51,5,ERRFI1
3.4029017730024925e-55,1.5033166293493843,0.558,0.256,6.25317229806938e-51,5,WTAP
6.455651990023983e-53,1.4636900475273116,0.455,0.181,1.1862906096868072e-48,5,NAMPT
3.520433302418854e-49,1.1212194934919322,0.665,0.35,6.469148236524886e-45,5,CDO1
5.82674898580317e-49,1.5572985930730996,0.521,0.231,1.0707233936311905e-44,5,C11orf96
2.3841684155688665e-47,1.5079892515637174,0.51,0.232,4.381147880449349e-43,5,GLUL
3.008048238549632e-47,1.209342297533965,0.508,0.228,5.527589443158803e-43,5,SLC25A37
6.2170505914344514e-43,1.0476910260376866,0.554,0.271,1.1424452166819948e-38,5,ELL2
7.509427030006892e-43,1.1208634424166806,0.634,0.334,1.3799323110340664e-38,5,ACKR3
2.3021465787444005e-42,1.3457831703880396,0.322,0.112,4.23042455310071e-38,5,ANK3
1.0053937924331648e-41,1.448143238731715,0.401,0.164,1.8475116329751837e-37,5,MT1G
2.225853770586214e-38,1.0457971723773123,0.483,0.228,4.090228888829227e-34,5,BIRC2
2.0611562864384497e-37,1.6498684618456614,0.275,0.094,3.787580791959295e-33,5,ZC3H12A
7.342053293140794e-36,1.004663446765206,0.626,0.349,1.3491757131475522e-31,5,C1S
4.557671738777283e-35,1.0947794036464693,0.384,0.161,8.375177587177136e-31,5,GALNT15
3.374449758032445e-33,1.1929466759225535,0.397,0.18,6.200888875360421e-29,5,ETS1
4.542791860843062e-33,1.0653330008594533,0.345,0.143,8.34783432348521e-29,5,NIFK
1.3323966872516063e-32,1.2421517235481074,0.275,0.099,2.4484121524935517e-28,5,SLC7A2
5.640075713495156e-32,1.1602506129611885,0.599,0.355,1.0364203131118698e-27,5,TNFRSF11B
2.053379388389518e-31,0.7397519201719378,0.686,0.419,3.773289964104578e-27,5,PNRC2
1.1721015986533104e-30,0.8050024002522296,0.653,0.387,2.1538538976853232e-26,5,TRIB1
2.5365782821776193e-29,0.8635048156985818,0.45,0.225,4.661216251329594e-25,5,SDC4
2.580589683492924e-29,0.8364671888190112,0.502,0.265,4.7420916023865975e-25,5,MAFF
3.093495820886108e-28,0.8407040087984221,0.37,0.168,5.684607920460312e-24,5,NFE2L2
3.8507579100498348e-28,0.9523950508358886,0.368,0.171,7.076152735507576e-24,5,RETREG1
3.366171983307896e-27,0.8054370936040856,0.465,0.246,6.18567763652659e-23,5,DDX21
1.881638495990396e-26,0.7374442370745262,0.446,0.228,3.4576989002319517e-22,5,IFITM2
2.4333873829928408e-26,0.7733439431034366,0.419,0.21,4.4715926549876445e-22,5,IFITM3
1.6301242299726366e-25,0.6224267172073095,0.579,0.335,2.9955162849977172e-21,5,CEBPB
3.439400588080266e-25,1.1406260089278246,0.254,0.101,6.320242520656297e-21,5,PLSCR1
3.458588661760218e-25,0.9336452224731175,0.262,0.105,6.355502524850576e-21,5,RPS4Y1
1.1180777095578898e-24,0.49100025719248186,0.442,0.231,2.0545795990835783e-20,5,CD44
1.2310756413815426e-24,0.7033662559433225,0.494,0.273,2.2622245986027226e-20,5,NNMT
2.2073521503659383e-24,0.9155956637183492,0.306,0.137,4.0562303115124484e-20,5,PIM3
2.8138329716246686e-24,1.043160962147462,0.521,0.318,5.170699468657491e-20,5,MT1E
2.3668083448007266e-23,0.8225598858510006,0.494,0.28,4.349247014405816e-19,5,TM4SF1
2.6446333637526925e-22,0.5986556306224773,0.436,0.232,4.859778269231948e-18,5,NDRG1
