p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
6.104113668305967e-229,2.4649087429505885,0.662,0.326,1.1216919276879045e-224,3,COL5A2
1.0073441137881495e-179,2.457963525579949,0.537,0.23,1.8510955434971034e-175,3,COL6A1
1.9021556354601404e-81,2.1889678827663688,0.394,0.201,3.495401195721554e-77,3,COL5A1
6.148465670699948e-161,2.18430063476421,0.628,0.381,1.1298420516478224e-156,3,TMSB4X
9.950258886949415e-68,2.153442687862902,0.43,0.271,1.8284595730658243e-63,3,PRSS23
1.3716920934109142e-193,2.4900877579688494,0.383,0.061,2.520621390851896e-189,4,ID3
1.5490811442669555e-145,2.3686216158675486,0.262,0.036,2.846591510704957e-141,4,CYP1B1
2.327767038105054e-305,2.274704828010508,0.464,0.052,4.277504709221847e-301,4,COL12A1
9.906843683198311e-172,2.16995913509867,0.339,0.051,1.820481595224522e-167,4,MMP2
1.0617702182726239e-115,2.1396941253110064,0.347,0.082,1.9511089530977736e-111,4,CFH
6.616345230709829e-155,1.9656372830433222,0.553,0.166,1.2158195995952381e-150,4,ZFP36L2
2.9779747018833534e-119,1.9396979681670952,0.347,0.079,5.47232631218085e-115,4,RGS16
2.328934934814735e-180,1.8906734974703059,0.391,0.067,4.279650836215557e-176,4,COL6A2
7.955534936717001e-122,1.8302169701062154,0.314,0.063,1.461909099971116e-117,4,CDH11
1.8800386808848997e-107,1.8124590692514466,0.358,0.093,3.4547590799940915e-103,4,PIK3R1
3.986345622894332e-146,1.8120853060585287,0.369,0.073,7.325308716630624e-142,4,THBS2
1.7304128478758482e-117,1.7960521715872642,0.29,0.055,3.179806649256659e-113,4,MAFB
2.0329470537475094e-107,1.787685572314487,0.445,0.139,3.7357435059664235e-103,4,SOCS3
3.472732520565802e-108,1.7598699786401286,0.251,0.045,6.381493279791717e-104,4,COLEC12
9.661393999496913e-157,1.7563632314100535,0.621,0.198,1.7753777613475529e-152,4,CRTAC1
6.755231598566091e-157,4.700239568810634,0.262,0.025,1.2413413585525049e-152,5,CCL20
5.592282454927737e-180,3.8129641298146617,0.388,0.051,1.027637823917521e-175,5,CXCL2
3.2407068254065786e-250,3.470747905936532,0.603,0.096,5.955122862367129e-246,5,CHI3L1
3.047768813780147e-114,3.26887465417182,0.275,0.039,5.600579972202398e-110,5,BIRC3
1.0611490482163178e-129,3.2464091356311866,0.452,0.1,1.9499674910023055e-125,5,CCDC71L
1.0686453640765552e-137,3.0510237145483248,0.626,0.19,1.9637427210270778e-133,5,CHI3L2
9.54262185255127e-221,2.990774377143735,0.866,0.282,1.7535521916248215e-216,5,MMP3
4.636231712905867e-91,2.832548921777263,0.333,0.072,8.519539395635822e-87,5,MYO10
6.185358713308277e-206,2.7510581327568553,0.907,0.379,1.136621517157529e-201,5,SOD2
1.6342157137013303e-57,2.489626352189126,0.31,0.092,3.003034795497565e-53,5,CXCL8
1.7961740212031468e-98,2.486571569335126,0.349,0.073,3.3006493813629027e-94,5,PDE4B
3.4697585227963756e-112,2.358010832425785,0.405,0.086,6.3760282614906195e-108,5,ICAM1
3.5918246350207713e-143,2.330147192663638,0.917,0.489,6.6003369493141694e-139,5,IER3
1.0943811192276084e-114,2.3210822552378914,0.504,0.129,2.0110347446926533e-110,5,LIF
1.8492810932067786e-79,2.3053419787616036,0.382,0.103,3.3982389368767763e-75,5,GLRX
7.658657684320436e-147,7.751892639292184,0.533,0.036,1.4073549360707233e-142,6,LYZ
0,7.340974228582562,0.39,0.004,0,6,MNDA
2.195679057438255e-264,7.225842628164848,0.429,0.01,4.034779835948537e-260,6,PLEK
5.119328305528707e-185,7.212136635289138,0.81,0.074,9.407277694239551e-181,6,S100A8
3.3404332698795826e-272,7.011716690519963,0.457,0.012,6.138380176730721e-268,6,ALOX5AP
