source,target,value,group,metric
Fibro-reg NPCs,Fibro-reg NPCs,0.004791680189268921,mild,weight
Hom/Reg-like NPCs,Fibro-reg NPCs,0.011417088124553151,mild,weight
ECM/Adh-NPCs,Hom/Reg-like NPCs,0.0231516269050813,mild,weight
Hom-NPCs,Hom/Reg-like NPCs,0.01139510024729087,mild,weight
Eff-NPCs,Hom/Reg-like NPCs,0.0028945451947457517,mild,weight
Ht-NPCs,Hom/Reg-like NPCs,2.9834204593562753e-4,mild,weight
Fibro-NPCs,Hom/Reg-like NPCs,0.020571712963470632,mild,weight
Fibro-reg NPCs,Hom/Reg-like NPCs,0.013268558301018753,mild,weight
Hom/Reg-like NPCs,Hom/Reg-like NPCs,0.028255772020248513,mild,weight
ECM/Adh-NPCs,ECM/Adh-NPCs,1.4305562715321627e-4,severe,weight
Hom-NPCs,ECM/Adh-NPCs,0,severe,weight
Eff-NPCs,ECM/Adh-NPCs,0,severe,weight
Ht-NPCs,ECM/Adh-NPCs,5.994753171355741e-6,severe,weight
Fibro-NPCs,ECM/Adh-NPCs,0,severe,weight
Fibro-reg NPCs,ECM/Adh-NPCs,5.1569833890477564e-5,severe,weight
Hom/Reg-like NPCs,ECM/Adh-NPCs,1.830836108203886e-4,severe,weight
ECM/Adh-NPCs,Hom-NPCs,0.005078840292452158,severe,weight
Hom-NPCs,Hom-NPCs,0.0010123587889494922,severe,weight
Eff-NPCs,Hom-NPCs,4.630985138222338e-4,severe,weight
Ht-NPCs,Hom-NPCs,1.78343503327663e-4,severe,weight
Fibro-NPCs,Hom-NPCs,0.014015875933772015,severe,weight
Fibro-reg NPCs,Hom-NPCs,0.008166303733633433,severe,weight
Hom/Reg-like NPCs,Hom-NPCs,0.0037867146725461087,severe,weight
ECM/Adh-NPCs,Eff-NPCs,0.002336056344486305,severe,weight
Hom-NPCs,Eff-NPCs,6.23075120191085e-4,severe,weight
Eff-NPCs,Eff-NPCs,2.2906153157379057e-4,severe,weight
Ht-NPCs,Eff-NPCs,1.3733880991389672e-4,severe,weight
Fibro-NPCs,Eff-NPCs,0.0055230053480409555,severe,weight
Fibro-reg NPCs,Eff-NPCs,0.0032101699857852786,severe,weight
Hom/Reg-like NPCs,Eff-NPCs,0.0012652519992525303,severe,weight
ECM/Adh-NPCs,Ht-NPCs,9.309451450622572e-5,severe,weight
Hom-NPCs,Ht-NPCs,0,severe,weight
Eff-NPCs,Ht-NPCs,2.17727312744201e-6,severe,weight
Ht-NPCs,Ht-NPCs,1.0505970116412004e-5,severe,weight
Fibro-NPCs,Ht-NPCs,5.454771074248077e-4,severe,weight
Fibro-reg NPCs,Ht-NPCs,2.7545094930159686e-4,severe,weight
Hom/Reg-like NPCs,Ht-NPCs,9.319703542667693e-5,severe,weight
ECM/Adh-NPCs,Fibro-NPCs,0.001866707192820924,severe,weight
Hom-NPCs,Fibro-NPCs,0.00232717264598291,severe,weight
Eff-NPCs,Fibro-NPCs,9.868034673659419e-6,severe,weight
Ht-NPCs,Fibro-NPCs,6.65451287427908e-5,severe,weight
Fibro-NPCs,Fibro-NPCs,0.005369132414205105,severe,weight
Fibro-reg NPCs,Fibro-NPCs,0.0033616665933023718,severe,weight
Hom/Reg-like NPCs,Fibro-NPCs,0.002517898856063528,severe,weight
ECM/Adh-NPCs,Fibro-reg NPCs,0.011843874625815341,severe,weight
